,Título,Ubicación,Descripción,Servicios,Sueldo,Timestamp,Url
0,Data Analyst,Madrid,"Una empresa internacional y dinámica busca un Analista de Datos apasionado por la analítica y la colaboración. En este emocionante rol, serás parte de un equipo que apoya a las áreas comerciales mediante análisis descriptivos y recomendaciones basadas en datos. Te conectarás con diferentes partes interesadas para entender sus necesidades y generar análisis significativos que impulsen mejores decisiones. Con un enfoque en la flexibilidad y el bienestar del empleado, esta organización ofrece un ambiente de trabajo colaborativo donde tu crecimiento profesional es una prioridad. Si te encanta trabajar en equipo y disfrutar mientras lo haces, ¡este es tu lugar!","['Tarjeta de restauranteSeguro de saludSeguro de vidaRemuneración flexibleTransporte gratuitoBeneficios bancariosCuidado 360º del empleado', ' Excel SAS SQL R Python Análisis de datos Comunicación', ' Licenciatura en matemáticas Licenciatura en estadísticas Licenciatura en informática Licenciatura en economía', ' Herramientas de análisis de datos Metodologías ágiles']","EUR 50,000 - 70,000",2024-10-31 11:15:55.927390,https://jobleads.com/job/eba2bf38bdc4c66ba2f5f90be22d72dd5
1,Business Intelligence Analyst (all genders),Madrid,"An innovative edtech company is seeking a Business Intelligence Analyst to revolutionize the education landscape. This role offers a unique opportunity to develop and maintain BI solutions while collaborating with a diverse team of experts. You will drive data governance and empower stakeholders with insightful dashboards, making a real impact on the decision-making process. With a flexible hybrid work environment and a commitment to employee growth, this position is perfect for those eager to contribute to meaningful change in education. Join a dynamic team and unlock your potential in a company that values creativity and collaboration.","['Flexible hybrid work environmentComprehensive Employee Support ProgrammeAccess to learning and development opportunitiesRegular team events and bonding activitiesEmployee Resource Groups for community support', ' SQL Tableau Data Governance Data Warehousing ETL Processes Analytical Thinking Project Management Agile Methodologies', "" Bachelor's Degree in Data Science or related field"", ' Amazon Web Services']","EUR 50,000 - 70,000",2024-10-31 11:15:56.598105,https://jobleads.com/job/e4b1388ab13374dab4103a56aec3edb08
2,Research Analyst (6 month Maternity Cover),Madrid,"An established industry player is seeking a Research Analyst to support the commercial real estate market in Spain. This dynamic role involves analyzing market conditions, creating insightful reports, and utilizing advanced data visualization tools to communicate findings. The ideal candidate will have a strong background in economics or related fields, excellent Excel skills, and a passion for real estate. Join a collaborative team that values diversity and innovation, where your insights will help shape the future of real estate. If you are proactive, organized, and eager to learn, this opportunity is perfect for you.","['Competitive benefitsCareer development opportunitiesCollaborative work environmentSupportive team culture', ' Data Analysis Excel Data Visualization (PBI/Tableau) GIS (MapIT, ArcGIS) Written and Oral Communication Quantitative Skills Organizational Skills Collaboration', ' Bachelor’s degree in Economics Bachelor’s degree in Statistics Bachelor’s degree in Urban Planning', ' Excel Tableau Power BI ArcGIS']","EUR 30,000 - 50,000",2024-10-31 11:15:57.508127,https://jobleads.com/job/ec2be137e14f9dbc1a8eb0f27622e2757
3,"Senior Program Manager, Analyst Relations",Madrid,"Join a forward-thinking company at the forefront of Process Mining technology! As a Senior Program Manager for Analyst Relations, you will leverage your project management expertise and relationship-building skills to engage with top analysts like Gartner and Forrester. This role offers a unique opportunity to shape the narrative around innovative solutions while collaborating with cross-functional teams. You'll be instrumental in driving key initiatives, managing complex projects, and ensuring that the company’s insights are effectively communicated. If you're passionate about technology and eager to make a significant impact, this is the perfect opportunity for you to thrive in a dynamic environment.","['Equity (Restricted Stock Units)Life InsuranceGenerous Leave for New ParentsSubsidized Gym MembershipAccess to CounselingInternal Mobility OpportunitiesMentorship ProgramsVirtual Well-being Events', ' Project Management Analyst Relations Communication Skills Strategic Thinking Leadership Analytical Skills', "" Bachelor's Degree PMP Certification"", ' Agile Methodology Waterfall Methodology']","EUR 50,000 - 70,000",2024-10-31 11:15:58.398931,https://jobleads.com/job/ea5922eccaee3331c3aba833963c3cb53
4,[RJ072] | Data Analyst,Madrid,"Join a forward-thinking company as a Data Analyst, where your analytical skills will drive impactful insights for better decision-making. This dynamic role involves collaborating with various business areas, understanding their needs, and transforming data into actionable recommendations. Enjoy a flexible work environment that values teamwork and personal growth, while benefiting from a range of perks designed to enhance your work-life balance. If you thrive in a collaborative atmosphere and are passionate about data-driven solutions, this opportunity is perfect for you!","['Flexible working hoursHealth insuranceLife insuranceRestaurant cardFree company shuttleGym accessBanking benefitsFlexible remunerationPhysiotherapy serviceRunners club', ' Data Analysis Excel SAS SQL R Python Communication Skills Customer Centricity', "" Bachelor's degree in Mathematics Bachelor's degree in Statistics Bachelor's degree in Computer Science Bachelor's degree in Economics"", ' Statistical/Analytical Software Data Visualization Tools']","EUR 50,000 - 70,000",2024-10-31 11:15:59.317859,https://jobleads.com/job/ea6ecb7b732973b55d2da2a4817072309
5,Data Analyst / Salesforce CRM Analytics - [U-909],Madrid,Sin descripción,[],"EUR 50,000 - 70,000",2024-10-31 11:16:00.163183,https://jobleads.com/job/ec3395299d0f0d3a84dfa4b6b7bde7b62
6,"Business Analyst, PV Global Ops",Madrid,"Join a dynamic team at the forefront of entertainment innovation! As a Business Analyst for DigiFlex Operations, you'll leverage your analytical skills to optimize Prime Video's operations, ensuring high-quality content delivery. This role offers the chance to work with vast datasets, collaborate with cross-functional teams, and influence strategic decisions that shape the future of how customers enjoy their favorite movies and shows. If you're passionate about data and want to make a significant impact in a fast-paced environment, this opportunity is perfect for you.","[' Excel (including VBA) Data visualization tools (Tableau) SQL Data analysis Business insights', "" Bachelor's degree or equivalent Master's degree in Business, Analytics, Engineering, Statistics, Computer Science, Mathematics or related field"", ' Tableau SQL']","EUR 50,000 - 70,000",2024-10-31 11:16:00.912700,https://jobleads.com/job/e860353a7964741360fae167d99cc2482
7,Global Markets Sales and Trading Off-Cycle 2025 Analyst - Madrid,Madrid,Sin descripción,[],"EUR 50,000 - 70,000",2024-10-31 11:16:01.725708,https://jobleads.com/job/e4c754a957f82738907f4ee71ef6033f6
8,[MGC481] - Desk Quant Analyst,Madrid,"An innovative global investment management firm is seeking motivated graduates or early career professionals for a Desk Quant Analyst position. This exciting three-year program offers the chance to work closely with experienced Quantitative Researchers and Traders, gaining hands-on experience in a dynamic trading environment. You will be involved in maintaining automated trading systems, managing large datasets, and conducting critical analyses of trading activities. If you have a strong background in STEM and a passion for finance, this role provides a unique opportunity to develop your skills in a collaborative and technology-driven setting.","[' Programming proficiency Attention to detail Strong communication skills Ability to work under pressure Quantitative skills', ' Degree in Engineering Degree in Computer Science Degree in Mathematics or related STEM', ' C++ Java Python Linux Bash Q/KDB+']","EUR 50,000 - 70,000",2024-10-31 11:16:02.668017,https://jobleads.com/job/e7b34be8695587f9c91d70f5b1a47c61c
9,[YFU132] - Business Analyst,Madrid,"Join a forward-thinking firm where you will collaborate with diverse teams to tackle complex challenges faced by clients across various sectors. As a business analyst, you will engage in meaningful projects that require strong problem-solving skills and the ability to synthesize complex information into actionable recommendations. With a commitment to your personal and professional growth, you'll receive mentorship and training to develop your leadership style and establish trust-based relationships with clients. This role offers a unique opportunity to shape your career in a dynamic environment while making a lasting impact on organizations worldwide.","['Mentorship ProgramsProfessional Development ManagerFlexible Career Path', ' Problem Solving Data Analysis Communication Team Collaboration Leadership Development', "" Bachelor's Degree Master's Degree""]","EUR 50,000 - 70,000",2024-10-31 11:16:03.370836,https://jobleads.com/job/e2ad695c320220edb4118b182b28ef75a
