Título,Puesto,Expertise,Empresa,Modalidad,Sector,Ubicación,Descripción,Servicios,Otro Idioma,EntornoTEC,Beneficios,Habilidades,Herramientas,Educación
data analyst,Data Analyst,Regular,,,,Madrid,"Una empresa internacional y dinámica busca un Analista de Datos apasionado por la analítica y la colaboración. En este emocionante rol, serás parte de un equipo que apoya a las áreas comerciales mediante análisis descriptivos y recomendaciones basadas en datos. Te conectarás con diferentes partes interesadas para entender sus necesidades y generar análisis significativos que impulsen mejores decisiones. Con un enfoque en la flexibilidad y el bienestar del empleado, esta organización ofrece un ambiente de trabajo colaborativo donde tu crecimiento profesional es una prioridad. Si te encanta trabajar en equipo y disfrutar mientras lo haces, ¡este es tu lugar!","['Tarjeta de restaurante Seguro de salud Seguro de vida Remuneración flexible Transporte gratuito Beneficios bancarios Cuidado 360º del empleado', ' Excel S A S S Q L R Python Análisis de datos Comunicación', ' Licenciatura en matemáticas Licenciatura en estadísticas Licenciatura en informática Licenciatura en economía', ' Herramientas de análisis de datos Metodologías ágiles']",,,,,"Excel, R, Python","Licenciatura, Licenciatura, Licenciatura, Licenciatura"
business intelligence analyst,Business Intelligence,Regular,,,,Madrid,"An innovative edtech company is seeking a Business Intelligence Analyst to revolutionize the education landscape. This role offers a unique opportunity to develop and maintain BI solutions while collaborating with a diverse team of experts. You will drive data governance and empower stakeholders with insightful dashboards, making a real impact on the decision-making process. With a flexible hybrid work environment and a commitment to employee growth, this position is perfect for those eager to contribute to meaningful change in education. Join a dynamic team and unlock your potential in a company that values creativity and collaboration.","['Flexible hybrid work environment Comprehensive Employee Support Programme Access to learning and development opportunities Regular team events and bonding activities Employee Resource Groups for community support', ' S Q L Tableau Data Governance Data Warehousing E T L Processes Analytical Thinking Project Management Agile Methodologies', "" Bachelor's Degree in Data Science or related field"", ' Amazon Web Services']",,,,"Data Governance, Data Science",Tableau,Bachelor's Degree
research analyst,Data Analyst,Regular,,,,Madrid,"An established industry player is seeking a Research Analyst to support the commercial real estate market in Spain. This dynamic role involves analyzing market conditions, creating insightful reports, and utilizing advanced data visualization tools to communicate findings. The ideal candidate will have a strong background in economics or related fields, excellent Excel skills, and a passion for real estate. Join a collaborative team that values diversity and innovation, where your insights will help shape the future of real estate. If you are proactive, organized, and eager to learn, this opportunity is perfect for you.","['Competitive benefits Career development opportunities Collaborative work environment Supportive team culture', ' Data Analysis Excel Data Visualization (P B I/Tableau) G I S (Map I T, Arc G I S) Written and Oral Communication Quantitative Skills Organizational Skills Collaboration', ' Bachelor’s degree in Economics Bachelor’s degree in Statistics Bachelor’s degree in Urban Planning', ' Excel Tableau Power B I Arc G I S']",,,,"Data Analysis, Data Visualization","Excel, Tableau, Excel, Tableau",
senior program manager analyst relations,Data Analyst,Senior,,,,Madrid,"Join a forward-thinking company at the forefront of Process Mining technology! As a Senior Program Manager for Analyst Relations, you will leverage your project management expertise and relationship-building skills to engage with top analysts like Gartner and Forrester. This role offers a unique opportunity to shape the narrative around innovative solutions while collaborating with cross-functional teams. You'll be instrumental in driving key initiatives, managing complex projects, and ensuring that the company’s insights are effectively communicated. If you're passionate about technology and eager to make a significant impact, this is the perfect opportunity for you to thrive in a dynamic environment.","['Equity (Restricted Stock Units)Life Insurance Generous Leave for New Parents Subsidized Gym Membership Access to Counseling Internal Mobility Opportunities Mentorship Programs Virtual Well-being Events', ' Project Management Analyst Relations Communication Skills Strategic Thinking Leadership Analytical Skills', "" Bachelor's Degree P M P Certification"", ' Agile Methodology Waterfall Methodology']",,,,,,Bachelor's Degree
data analyst,Data Analyst,Regular,,,,Madrid,"Join a forward-thinking company as a Data Analyst, where your analytical skills will drive impactful insights for better decision-making. This dynamic role involves collaborating with various business areas, understanding their needs, and transforming data into actionable recommendations. Enjoy a flexible work environment that values teamwork and personal growth, while benefiting from a range of perks designed to enhance your work-life balance. If you thrive in a collaborative atmosphere and are passionate about data-driven solutions, this opportunity is perfect for you!","['Flexible working hours Health insurance Life insurance Restaurant card Free company shuttle Gym access Banking benefits Flexible remuneration Physiotherapy service Runners club', ' Data Analysis Excel S A S S Q L R Python Communication Skills Customer Centricity', "" Bachelor's degree in Mathematics Bachelor's degree in Statistics Bachelor's degree in Computer Science Bachelor's degree in Economics"", ' Statistical/Analytical Software Data Visualization Tools']",,,,"Data Analysis, Data Visualization","Excel, R, Python","Bachelor's degree, Bachelor's degree, Bachelor's degree, Bachelor's degree"
data analyst salesforce crm analytics,Data Analyst,Regular,,,,Madrid,Sin descripción,[],,"Salesforce, CRM, Analytics",,,,
business analyst pv global ops,Data Analyst,Regular,,,,Madrid,"Join a dynamic team at the forefront of entertainment innovation! As a Business Analyst for DigiFlex Operations, you'll leverage your analytical skills to optimize Prime Video's operations, ensuring high-quality content delivery. This role offers the chance to work with vast datasets, collaborate with cross-functional teams, and influence strategic decisions that shape the future of how customers enjoy their favorite movies and shows. If you're passionate about data and want to make a significant impact in a fast-paced environment, this opportunity is perfect for you.","[' Excel (including V B A) Data visualization tools (Tableau) S Q L Data analysis Business insights', "" Bachelor's degree or equivalent Master's degree in Business, Analytics, Engineering, Statistics, Computer Science, Mathematics or related field"", ' Tableau S Q L']",,,,"Data visualization, Data analysis","Excel, Tableau, Tableau","Bachelor's degree, Master's degree"
global markets sales and trading offcycle 2025 analyst,Data Analyst,Regular,,,,Madrid,Sin descripción,[],,,,,,
desk quant analyst,Data Analyst,Regular,,,,Madrid,"An innovative global investment management firm is seeking motivated graduates or early career professionals for a Desk Quant Analyst position. This exciting three-year program offers the chance to work closely with experienced Quantitative Researchers and Traders, gaining hands-on experience in a dynamic trading environment. You will be involved in maintaining automated trading systems, managing large datasets, and conducting critical analyses of trading activities. If you have a strong background in STEM and a passion for finance, this role provides a unique opportunity to develop your skills in a collaborative and technology-driven setting.","[' Programming proficiency Attention to detail Strong communication skills Ability to work under pressure Quantitative skills', ' Degree in Engineering Degree in Computer Science Degree in Mathematics or related S T E M', ' C++ Java Python Linux Bash Q/K D B+']",,,,,Python,"Engineering Degree, Computer Science Degree"
business analyst,Data Analyst,Regular,,,,Madrid,"Join a forward-thinking firm where you will collaborate with diverse teams to tackle complex challenges faced by clients across various sectors. As a business analyst, you will engage in meaningful projects that require strong problem-solving skills and the ability to synthesize complex information into actionable recommendations. With a commitment to your personal and professional growth, you'll receive mentorship and training to develop your leadership style and establish trust-based relationships with clients. This role offers a unique opportunity to shape your career in a dynamic environment while making a lasting impact on organizations worldwide.","['Mentorship Programs Professional Development Manager Flexible Career Path', ' Problem Solving Data Analysis Communication Team Collaboration Leadership Development', "" Bachelor's Degree Master's Degree""]",,,,"Problem Solving, Data Analysis",,"Bachelor's Degree, Master's Degree"
